køn;civilstand;Alder;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Kvinder;Ugift;20 år;29353;28549;26866;26766;26372;26966;28227;28992;29623;31151;32492;33611;34386;35699;35505;36899;37044;35934;36033;35170;35066
Kvinder;Ugift;21 år;30430;29401;28676;26987;26976;26760;27384;28681;29591;30138;31760;32964;34463;34799;36331;35998;37745;37534;36642;36402;35560
Kvinder;Ugift;22 år;29989;30052;29202;28503;26940;27000;26832;27479;28949;29815;30191;31771;33233;34530;34843;36351;36297;37969;37727;36738;36399
Kvinder;Ugift;23 år;30396;29203;29483;28686;28089;26570;26749;26685;27425;28872;29549;30029;31674;33251;34555;34821;36491;36369;38048;37624;36597
Kvinder;Ugift;24 år;32404;29244;28235;28534;27864;27249;25887;26077;26139;26938;28048;29012;29350;31251;32727;34085;34561;36058;36029;37559;37097
Kvinder;Ugift;25 år;29768;30537;27816;26878;27239;26509;26081;24893;25191;25295;25823;26996;27960;28564;30310;31695;33260;33682;34976;34965;36413
Kvinder;Ugift;26 år;27514;27776;28729;26092;25345;25581;25186;24611;23701;23948;23930;24520;25845;26865;27468;29075;30619;31878;32370;33454;33485
Kvinder;Ugift;27 år;26247;25218;25759;26526;24230;23471;23873;23476;23007;22146;22282;22536;23198;24517;25517;25981;27775;29118;30348;30654;31566
Kvinder;Ugift;28 år;23369;23731;23002;23581;24440;22090;21452;21884;21549;21232;20539;20682;20971;21712;23040;23879;24414;26138;27394;28482;28688
Kvinder;Ugift;29 år;19520;21088;21514;20851;21437;21985;19885;19372;19849;19620;19376;18892;19120;19407;20145;21476;22344;22711;24234;25508;26386
Kvinder;Ugift;30 år;16761;17275;18700;19034;18488;18954;19536;17654;17289;17665;17534;17489;17183;17429;17819;18511;19818;20556;20798;22075;23404
Kvinder;Gift/separeret;20 år;1209;1248;1111;987;692;498;394;411;393;439;449;409;336;313;319;315;360;385;355;288;223
Kvinder;Gift/separeret;21 år;1882;1754;1827;1582;1279;959;770;679;739;771;819;809;713;624;597;599;650;715;628;600;505
Kvinder;Gift/separeret;22 år;2540;2637;2381;2406;1936;1629;1393;1221;1158;1265;1333;1331;1204;1104;1017;1013;1085;1159;1155;1027;958
Kvinder;Gift/separeret;23 år;3570;3442;3456;3082;2951;2476;2164;1919;1893;1922;2015;2046;1922;1795;1670;1655;1735;1834;1755;1759;1535
Kvinder;Gift/separeret;24 år;5081;4795;4515;4485;3890;3777;3309;3091;2932;3019;3014;3039;2939;2810;2661;2605;2720;2776;2795;2717;2588
Kvinder;Gift/separeret;25 år;7040;6956;6239;5907;5652;5155;5034;4534;4458;4298;4314;4403;4173;4094;4025;3968;4011;4081;4194;4037;3842
Kvinder;Gift/separeret;26 år;9082;8872;8743;7943;7375;7215;6596;6591;6045;6111;5816;5835;5663;5423;5397;5392;5508;5635;5581;5772;5328
Kvinder;Gift/separeret;27 år;12018;11269;10848;10777;9625;9093;8959;8342;8511;7908;7813;7456;7200;7064;6855;6963;7007;7255;7344;7337;7516
Kvinder;Gift/separeret;28 år;13820;14339;13309;12974;12705;11540;11023;10828;10454;10548;9588;9484;8949;8662;8574;8384;8773;8869;8997;9243;9183
Kvinder;Gift/separeret;29 år;16027;15857;16348;15262;14842;14879;13585;12990;12960;12485;12419;11285;10909;10376;10112;10100;10101;10469;10814;10868;11185
Kvinder;Gift/separeret;30 år;18175;18069;18038;18634;17376;17048;17079;15689;15151;15224;14580;14197;12731;12401;11822;11552;11903;11936;12335;12850;12866
